Date,UBS,HPQ,UNH,JNJ,JPM,HD
2014-04-10,14.932507514953613,11.002766609191895,68.62906646728516,73.50732421875,43.454742431640625,60.95128631591797
2014-04-11,14.756316184997559,10.885354995727539,67.73680877685547,73.75859069824219,41.86491775512695,60.093910217285156
2014-04-14,14.61682415008545,11.036309242248535,67.93412780761719,73.96417236328125,41.60753631591797,60.308258056640625
2014-04-15,14.580120086669922,10.865230560302734,68.21724700927734,75.53267669677734,41.48640060424805,60.2447509765625
2014-04-16,14.660873413085938,10.898772239685059,67.08472442626953,75.19002532958984,41.83464813232422,60.79248809814453
2014-04-17,14.866434097290039,10.710921287536621,65.01702117919922,75.34993743896484,41.80437088012695,61.19738006591797
2014-04-21,14.932507514953613,10.714274406433105,64.30490112304688,76.14181518554688,41.66051483154297,61.888023376464844
2014-04-22,15.123384475708008,10.657248497009277,64.99984741210938,76.27885437011719,42.25102996826172,63.24549102783203
2014-04-23,15.064654350280762,10.647186279296875,64.63090515136719,76.30934143066406,42.432716369628906,62.33256912231445
2014-04-24,15.079338073730469,10.73440170288086,65.71197509765625,76.11137390136719,42.5386962890625,63.324859619140625
2014-04-25,14.888461112976074,10.59351634979248,64.9140853881836,75.98190307617188,42.16774368286133,63.0152473449707
2014-04-28,14.954532623291016,10.798137664794922,64.982666015625,77.162109375,42.00877380371094,63.642417907714844
2014-04-29,15.2114839553833,11.056436538696289,64.5193862915039,76.92608642578125,42.47056579589844,63.126399993896484
2014-04-30,15.350973129272461,11.089981079101562,64.3821029663086,77.1240463256836,42.379730224609375,63.11848068237305
2014-05-01,15.431729316711426,10.949091911315918,64.30490112304688,76.54536437988281,42.182884216308594,62.97556686401367
2014-05-02,15.321606636047363,10.898772239685059,64.3735580444336,75.61643981933594,42.07689666748047,63.03114700317383
2014-05-05,15.299581527709961,10.902127265930176,64.54511260986328,76.14181518554688,41.04730224609375,62.46750259399414
2014-05-06,15.350973129272461,10.778011322021484,64.57087707519531,75.76869201660156,40.381107330322266,61.45933151245117
2014-05-07,15.417043685913086,10.841747283935547,66.84449005126953,76.8346939086914,40.918601989746094,61.1894416809082
2014-05-08,15.255534172058105,10.811555862426758,65.96936798095703,76.52251434326172,41.15329360961914,61.16561508178711
2014-05-09,15.116044044494629,10.855164527893066,66.02084350585938,76.8346939086914,40.888328552246094,61.68954849243164
2014-05-12,15.020605087280273,11.009472846984863,66.69864654541016,76.53775787353516,41.37283706665039,62.13410568237305
2014-05-13,15.005924224853516,11.163780212402344,66.95603942871094,76.91845703125,41.35013961791992,61.34026336669922
2014-05-14,14.998580932617188,11.059788703918457,66.20958709716797,76.80428314208984,41.15329360961914,60.578182220458984
2014-05-15,14.64619255065918,10.871936798095703,65.61759185791016,76.66720581054688,40.50979232788086,60.52259826660156
2014-05-16,14.61682415008545,10.908838272094727,65.76344299316406,76.58344268798828,40.35839080810547,61.411712646484375
2014-05-19,14.528730392456055,11.106752395629883,66.2353286743164,76.62911224365234,40.7520637512207,60.7289924621582
2014-05-20,14.477339744567871,11.002766609191895,65.77204132080078,76.33216857910156,40.66878128051758,61.888023376464844
2014-05-21,14.631509780883789,10.908838272094727,66.68148040771484,77.00983428955078,40.97160339355469,61.983299255371094
2014-05-22,14.631509780883789,10.660603523254395,67.21343231201172,77.40851593017578,41.2971305847168,62.53897476196289
2014-05-23,14.778337478637695,11.311379432678223,67.58235931396484,77.42388916015625,41.28199768066406,62.85652542114258
2014-05-27,14.822385787963867,11.103398323059082,67.87405395507812,77.29353332519531,41.74379348754883,63.26134490966797
2014-05-28,14.92516803741455,11.187259674072266,67.41934967041016,76.90249633789062,41.978477478027344,63.253421783447266
2014-05-29,14.859094619750977,11.284541130065918,68.09713745117188,77.25520324707031,42.182884216308594,63.428077697753906
2014-05-30,14.778337478637695,11.23757553100586,68.3202133178711,77.7918930053711,42.06932830810547,63.69003677368164
2014-06-02,14.770997047424316,11.214096069335938,68.18292236328125,78.33625030517578,41.902774810791016,64.17427062988281
2014-06-03,14.675557136535645,11.30131721496582,68.53469848632812,78.55863952636719,42.092044830322266,64.413818359375
2014-06-04,14.631509780883789,11.324796676635742,69.07522583007812,78.72727966308594,42.1525993347168,64.31002044677734
2014-06-05,14.712265968322754,11.361693382263184,68.466064453125,79.14131927490234,42.871803283691406,64.18226623535156
2014-06-06,14.888461112976074,11.351631164550781,68.57758331298828,79.11064910888672,43.129207611083984,64.389892578125
2014-06-09,14.888461112976074,11.371853828430176,68.43177032470703,79.14131927490234,43.46987533569336,64.36592102050781
2014-06-10,14.969213485717773,11.328038215637207,68.4746322631836,79.81605529785156,43.833255767822266,64.4697036743164
2014-06-11,14.660873413085938,11.206701278686523,68.78350830078125,79.21800994873047,43.3563232421875,63.727134704589844
2014-06-12,14.440630912780762,11.253885269165039,68.47750091552734,78.61228942871094,43.18219757080078,62.62522506713867
2014-06-13,14.257097244262695,11.850454330444336,68.25337982177734,78.61228942871094,43.18219757080078,62.3377685546875
2014-06-16,14.176338195800781,11.762825012207031,67.23619842529297,78.55095672607422,43.05350112915039,63.0004997253418
2014-06-17,14.257097244262695,11.766195297241211,67.38275146484375,78.15225982666016,43.46987533569336,63.89478302001953
2014-06-18,14.37455940246582,11.698784828186035,68.27923583984375,78.82697296142578,43.74241256713867,64.4457778930664
2014-06-19,14.102926254272461,11.621268272399902,69.39984130859375,79.59368133544922,43.379032135009766,64.23016357421875
2014-06-20,13.985461235046387,11.533636093139648,70.1756591796875,80.71310424804688,43.56829833984375,64.01455688476562
