Date,GME,AAPL,NVDA,GOOGL,TSLA,AMZN
2014-04-10,7.4860005378723145,16.46747589111328,4.354457378387451,27.33449935913086,13.612667083740234,15.855500221252441
2014-04-11,7.360657691955566,16.345733642578125,4.2928595542907715,26.88800048828125,13.585332870483398,15.58650016784668
2014-04-14,7.478734493255615,16.410844802856445,4.340241432189941,27.260000228881836,13.206000328063965,15.795499801635742
2014-04-15,7.529597282409668,16.293827056884766,4.3710408210754395,27.434999465942383,12.927332878112793,15.803999900817871
2014-04-16,7.400623321533203,16.32685661315918,4.380516529083252,28.19499969482422,13.27400016784668,16.18400001525879
2014-04-17,7.533231258392334,16.513395309448242,4.397100448608398,27.16699981689453,13.208000183105469,16.245500564575195
2014-04-21,7.442401885986328,16.709383010864258,4.432637691497803,26.9685001373291,13.625332832336426,16.543500900268555
2014-04-22,7.678554058074951,16.726051330566406,4.470544338226318,27.274999618530273,14.576000213623047,16.465999603271484
2014-04-23,7.249846935272217,16.507421493530273,4.522663593292236,26.875499725341797,13.866000175476074,16.229000091552734
2014-04-24,7.30434513092041,17.860734939575195,4.5629401206970215,26.722000122070312,13.857333183288574,16.857500076293945
2014-04-25,7.151753902435303,17.991912841796875,4.437375068664551,26.155000686645508,13.323332786560059,15.191499710083008
2014-04-28,7.327958583831787,18.688695907592773,4.418424606323242,26.14900016784668,13.234000205993652,14.829000473022461
2014-04-29,7.329775810241699,18.633331298828125,4.42789888381958,26.816499710083008,13.79466724395752,15.019000053405762
2014-04-30,7.208067417144775,18.5628662109375,4.3757781982421875,26.743999481201172,13.859333038330078,15.206500053405762
2014-05-01,7.131771087646484,18.606599807739258,4.39946985244751,26.92650032043457,13.84866714477539,15.394499778747559
2014-05-02,7.2516632080078125,18.641199111938477,4.36630392074585,26.693500518798828,14.060667037963867,15.400500297546387
2014-05-05,6.9301347732543945,18.904817581176758,4.413683891296387,26.76650047302246,14.440667152404785,15.5024995803833
2014-05-06,6.841125011444092,18.698762893676758,4.323657512664795,26.12849998474121,13.8186674118042,14.869000434875488
2014-05-07,6.510512351989746,18.633331298828125,4.328396797180176,25.899999618530273,13.423333168029785,14.635499954223633
2014-05-08,6.543210506439209,18.600122451782227,4.382885456085205,26.008499145507812,11.906000137329102,14.416000366210938
2014-05-09,6.641303539276123,18.522615432739258,4.276275157928467,26.33099937438965,12.150667190551758,14.612000465393066
2014-05-12,6.688534259796143,18.753223419189453,4.401839733123779,26.921499252319336,12.311332702636719,15.142999649047852
2014-05-13,6.875638484954834,18.782644271850586,4.330766677856445,27.07699966430664,12.677332878112793,15.232000350952148
2014-05-14,6.623138904571533,18.786121368408203,4.288121223449707,26.720500946044922,12.708000183105469,14.880999565124512
2014-05-15,6.51596212387085,18.62637710571289,4.264430522918701,26.45599937438965,12.572667121887207,14.759499549865723
2014-05-16,6.579542636871338,18.90127182006836,4.254954814910889,26.415000915527344,12.77066707611084,14.885000228881836
2014-05-19,6.717599391937256,19.125228881835938,4.392364501953125,26.941499710083008,13.072667121887207,14.838000297546387
2014-05-20,6.617688179016113,19.1290283203125,4.341192722320557,27.019500732421875,13.020000457763672,15.059499740600586
2014-05-21,6.71033239364624,19.17964744567871,4.341192722320557,27.485000610351562,13.296667098999023,15.250499725341797
2014-05-22,6.699434280395508,19.210010528564453,4.360232353210449,27.772499084472656,13.658666610717773,15.245499610900879
2014-05-23,6.981000900268555,19.427017211914062,4.400691509246826,28.190000534057617,13.819999694824219,15.612000465393066
2014-05-27,6.7739129066467285,19.790803909301758,4.47923469543457,28.743499755859375,14.104000091552734,15.541000366210938
2014-05-28,6.941034317016602,19.739551544189453,4.517315864562988,28.522499084472656,14.015999794006348,15.508000373840332
2014-05-29,6.9337687492370605,20.09922218322754,4.510173320770264,28.527999877929688,14.015999794006348,15.689000129699707
2014-05-30,6.875638484954834,20.023941040039062,4.522075653076172,28.582500457763672,13.851332664489746,15.6274995803833
2014-06-02,6.699715614318848,19.886335372924805,4.5077948570251465,28.216999053955078,13.646666526794434,15.442000389099121
2014-06-03,6.7015485763549805,20.16755485534668,4.488755702972412,27.725500106811523,13.662667274475098,15.35949993133545
2014-06-04,6.827993392944336,20.39784049987793,4.493513107299805,27.687999725341797,13.599332809448242,15.33899974822998
2014-06-05,6.723538875579834,20.477880477905273,4.51255464553833,28.24650001525879,13.793333053588867,16.178499221801758
2014-06-06,6.831658840179443,20.42156219482422,4.529215335845947,28.30150032043457,13.878000259399414,16.48349952697754
2014-06-09,6.692386627197266,20.74833869934082,4.533974647521973,28.536500930786133,13.687333106994629,16.375
2014-06-10,6.833491325378418,20.87013053894043,4.557776927947998,28.415000915527344,13.486666679382324,16.620500564575195
2014-06-11,6.915955543518066,20.78377342224121,4.617278099060059,28.375,13.631333351135254,16.760000228881836
2014-06-12,6.652070999145508,20.43611717224121,4.645836353302002,27.975000381469727,13.567999839782715,16.295499801635742
2014-06-13,6.778514862060547,20.212474822998047,4.650598049163818,28.017499923706055,13.761333465576172,16.313499450683594
2014-06-16,6.912288665771484,20.41619110107422,4.636317253112793,27.614999771118164,14.973999977111816,16.381000518798828
2014-06-17,7.3832502365112305,20.389623641967773,4.667257308959961,27.5310001373291,15.444666862487793,16.2810001373291
2014-06-18,7.330106735229492,20.41176414489746,4.662497520446777,28.033000946044922,15.141332626342773,16.7189998626709
2014-06-19,7.322773456573486,20.340904235839844,4.555395126342773,28.249500274658203,15.185999870300293,16.350000381469727
2014-06-20,7.350264549255371,20.130538940429688,4.50541353225708,28.326000213623047,15.305999755859375,16.209999084472656
