Date,NVS,SNY,CSCO,KO,PEP,TWX
2014-04-10,52.10803985595703,35.37289047241211,16.576845169067383,28.310861587524414,62.68507385253906,56.45071029663086
2014-04-11,51.386993408203125,34.99040985107422,16.437788009643555,28.121583938598633,62.33272933959961,55.73143005371094
2014-04-14,52.10803985595703,35.3182487487793,16.72321319580078,28.19438934326172,62.632572174072266,55.96231460571289
2014-04-15,52.08317184448242,35.2021369934082,16.752490997314453,29.24995231628418,62.93994903564453,56.19319152832031
2014-04-16,52.46855545043945,35.290931701660156,16.854957580566406,29.54840660095215,63.547142028808594,57.26768493652344
2014-04-17,52.63018035888672,35.74854278564453,16.986692428588867,29.643047332763672,64.1318588256836,57.853759765625
2014-04-21,53.121238708496094,35.74854278564453,17.12574577331543,29.664884567260742,64.4017333984375,57.764976501464844
2014-04-22,53.80497741699219,36.465702056884766,17.213563919067383,29.635770797729492,63.82448196411133,57.6495246887207
2014-04-23,53.56257247924805,36.31543731689453,17.198932647705078,29.650327682495117,64.02690124511719,58.608577728271484
2014-04-24,52.58045196533203,36.008094787597656,17.074512481689453,29.628498077392578,64.10936737060547,58.28889846801758
2014-04-25,52.50585174560547,36.083213806152344,16.832998275756836,29.854154586791992,63.90697479248047,57.89816665649414
2014-04-28,53.05908203125,36.711578369140625,16.84764289855957,29.86871910095215,65.08392333984375,57.79160690307617
2014-04-29,53.73660659790039,36.42472839355469,16.95009994506836,29.533855438232422,64.28929138183594,57.48968505859375
2014-04-30,54.041202545166016,36.74573516845703,16.913503646850586,29.694007873535156,64.3867416381836,59.01706314086914
2014-05-01,54.07848358154297,37.16236877441406,16.84031867980957,29.686731338500977,64.1468276977539,59.38114929199219
2014-05-02,54.30225372314453,36.9028205871582,16.789087295532227,29.810483932495117,64.10936737060547,58.78617858886719
2014-05-05,54.55710983276367,37.25115966796875,16.8037166595459,29.672163009643555,64.4017333984375,59.91395950317383
2014-05-06,54.49494934082031,37.12821960449219,16.628074645996094,29.475624084472656,63.99692916870117,59.93170928955078
2014-05-07,54.89276123046875,37.58833694458008,16.737850189208984,29.781362533569336,65.06893157958984,60.22474670410156
2014-05-08,54.64413070678711,37.27687454223633,16.84764289855957,29.650327682495117,64.9639892578125,60.42012023925781
2014-05-09,54.954917907714844,36.79551696777344,16.84764289855957,29.75224494934082,65.34628295898438,60.71316146850586
2014-05-12,55.07925033569336,37.375972747802734,16.972055435180664,29.715845108032227,65.16639709472656,61.663333892822266
2014-05-13,54.99222183227539,37.11405944824219,16.730533599853516,29.926956176757812,65.39128875732422,61.423561096191406
2014-05-14,55.47084426879883,37.220245361328125,16.693941116333008,29.76679801940918,65.0988998413086,61.22819900512695
2014-05-15,55.89974594116211,37.24147415161133,17.69660758972168,29.497467041015625,64.2743148803711,60.82859802246094
2014-05-16,55.86867141723633,37.58833694458008,17.835657119750977,29.76679801940918,64.87401580810547,61.174922943115234
2014-05-19,55.644901275634766,37.51755142211914,17.821022033691406,29.635770797729492,64.5441665649414,62.25830078125
2014-05-20,55.37139892578125,37.206085205078125,17.652690887451172,29.541126251220703,64.20681762695312,61.459083557128906
2014-05-21,55.62624740600586,37.574180603027344,17.916166305541992,29.75224494934082,64.5441665649414,62.51302719116211
2014-05-22,55.93083190917969,37.40428924560547,17.842975616455078,29.541126251220703,64.15435791015625,62.43271255493164
2014-05-23,56.073787689208984,37.368896484375,17.94544219970703,29.541126251220703,64.34176635742188,63.06623840332031
2014-05-27,56.1172981262207,37.64496612548828,18.084497451782227,29.67943572998047,64.86650085449219,62.985923767089844
2014-05-28,55.87489318847656,37.51047134399414,18.165000915527344,29.541126251220703,65.27133178710938,63.057315826416016
2014-05-29,56.04270935058594,37.715755462646484,18.062538146972656,29.599363327026367,65.7660903930664,62.736083984375
2014-05-30,55.980552673339844,37.729915618896484,18.01862907409668,29.781362533569336,66.21588134765625,62.30779266357422
2014-06-02,55.24707794189453,37.55294418334961,18.135726928710938,29.744970321655273,65.87102508544922,63.128684997558594
2014-06-03,55.24707794189453,37.722835540771484,18.062538146972656,29.759525299072266,66.13340759277344,63.128684997558594
2014-06-04,54.97358322143555,37.89979934692383,17.930805206298828,29.694007873535156,66.03144836425781,62.914554595947266
2014-06-05,55.141414642333984,38.225425720214844,18.07717514038086,29.76679801940918,66.28070068359375,63.244693756103516
2014-06-06,55.32788848876953,38.29621505737305,18.172319412231445,29.8395938873291,66.39397430419922,63.42316436767578
2014-06-09,55.39003372192383,38.0980110168457,18.150365829467773,29.781362533569336,66.4619369506836,64.20960235595703
2014-06-10,56.272701263427734,38.0838508605957,18.29673194885254,29.8978328704834,66.77913665771484,64.30266571044922
2014-06-11,55.63867950439453,37.94227600097656,18.326013565063477,29.744970321655273,66.29578399658203,64.14445495605469
2014-06-12,55.50193786621094,38.00598907470703,18.04789924621582,29.64594078063965,65.87284851074219,63.6325569152832
2014-06-13,55.53300476074219,38.06969451904297,18.07717514038086,29.609277725219727,65.85018920898438,63.13927459716797
2014-06-16,56.18568801879883,38.11216354370117,17.952756881713867,29.821962356567383,66.12207794189453,63.772151947021484
2014-06-17,55.85623550415039,38.232505798339844,17.930805206298828,30.012662887573242,65.91815948486328,63.49295425415039
2014-06-18,56.19189453125,38.041385650634766,18.025949478149414,30.482078552246094,67.14167022705078,64.4701919555664
2014-06-19,56.471622467041016,38.50857925415039,18.084497451782227,30.650774002075195,68.04795837402344,64.54463958740234
2014-06-20,56.55242919921875,38.593528747558594,18.172319412231445,30.577421188354492,67.29271697998047,63.567405700683594
