Date,XOM,MSFT,HBC,WFC,IBM,AMGN
2014-04-10,62.809932708740234,33.33023452758789,5735.830078125,35.73074722290039,122.5058822631836,86.48278045654297
2014-04-11,62.770992279052734,33.203208923339844,5683.2099609375,36.00784683227539,122.19915008544922,84.8381576538086
2014-04-14,63.51083755493164,33.17781066894531,5551.64990234375,36.030311584472656,123.8143539428711,85.88402557373047
2014-04-15,64.04302215576172,33.66048812866211,5314.85009765625,36.53208923339844,123.34481048583984,87.15729522705078
2014-04-16,64.86077117919922,34.21090316772461,5078.0498046875,36.76424789428711,122.95665740966797,87.56658172607422
2014-04-17,65.17227935791016,33.88066101074219,5183.2900390625,36.64442443847656,118.95616912841797,87.50591278076172
2014-04-21,65.50326538085938,33.821388244628906,4867.56005859375,36.786712646484375,120.37104034423828,88.688232421875
2014-04-22,65.13980865478516,33.86374282836914,4867.56005859375,36.869102478027344,120.29595947265625,90.41622161865234
2014-04-23,65.22418212890625,33.60968017578125,5130.669921875,37.13870620727539,120.03297424316406,85.88402557373047
2014-04-24,64.90619659423828,33.753631591796875,5051.740234375,36.936500549316406,119.08769226074219,86.18717193603516
2014-04-25,65.1657943725586,33.795982360839844,5183.2900390625,36.73429870605469,118.71826171875,84.43648529052734
2014-04-28,65.65901184082031,34.60892105102539,5156.97998046875,36.651920318603516,120.91572570800781,84.48950958251953
2014-04-29,65.84075164794922,34.30405807495117,5130.669921875,37.04884719848633,122.14904022216797,84.80784606933594
2014-04-30,66.46377563476562,34.21090316772461,5130.669921875,37.176143646240234,123.00044250488281,84.69416046142578
2014-05-01,65.81478118896484,33.8721923828125,5130.669921875,37.176143646240234,121.15985107421875,85.45963287353516
2014-05-02,66.20418548583984,33.60968017578125,5130.669921875,37.1312255859375,119.8514404296875,85.2019271850586
2014-05-05,66.78827667236328,33.3895149230957,4999.1201171875,37.11624526977539,119.73873901367188,85.77794647216797
2014-05-06,66.63250732421875,33.07619857788086,4893.8701171875,36.76424789428711,118.96869659423828,85.09583282470703
2014-05-07,66.91808319091797,33.381038665771484,4762.31982421875,37.254539489746094,119.20171356201172,85.46722412109375
2014-05-08,66.40535736083984,33.56733703613281,4446.580078125,37.20928192138672,118.95610809326172,83.95902252197266
2014-05-09,66.61445617675781,33.482669830322266,4315.02978515625,37.02070999145508,119.6928482055664,84.48950958251953
2014-05-12,66.79741668701172,33.84679412841797,4025.60009765625,37.53363037109375,121.26082611083984,84.67901611328125
2014-05-13,66.88236999511719,34.469322204589844,3762.489990234375,37.57133865356445,121.02149200439453,84.44278717041016
2014-05-14,66.83661651611328,34.315818786621094,3867.739990234375,37.179107666015625,118.83649444580078,85.40292358398438
2014-05-15,65.84998321533203,33.770042419433594,3788.800048828125,36.98298645019531,117.41336059570312,84.04649353027344
2014-05-16,65.82382202148438,33.966182708740234,3946.669921875,37.02070999145508,117.79116821289062,85.30389404296875
2014-05-19,65.90880584716797,33.89795684814453,3920.360107421875,37.32998275756836,117.7533950805664,85.41057586669922
2014-05-20,65.7780990600586,33.8382568359375,4078.22998046875,36.93021011352539,116.42476654052734,85.51728820800781
2014-05-21,66.66671752929688,34.40962219238281,4341.33984375,37.46574783325195,117.36925506591797,86.48503875732422
2014-05-22,66.32042694091797,34.19643020629883,4209.77978515625,37.70712661743164,116.92216491699219,87.52906036376953
2014-05-23,66.20283508300781,34.21348571777344,4130.85009765625,37.83535385131836,117.08592224121094,87.12519073486328
2014-05-27,66.22895050048828,34.27317428588867,4341.33984375,38.129512786865234,116.35543823242188,88.31397247314453
2014-05-28,66.03292846679688,34.11968994140625,4341.33984375,38.046546936035156,115.28498840332031,88.14630889892578
2014-05-29,66.17015838623047,34.40109634399414,4288.72021484375,37.9183235168457,115.71318054199219,88.39779663085938
2014-05-30,65.68661499023438,34.91276168823242,4472.89013671875,38.303009033203125,116.0909652709961,88.39018249511719
2014-06-02,65.3011245727539,34.784854888916016,4393.9599609375,38.536842346191406,116.92845916748047,88.7406997680664
2014-06-03,65.59515380859375,34.358455657958984,4393.9599609375,38.536842346191406,116.09727478027344,89.25128936767578
2014-06-04,65.366455078125,34.38405227661133,4262.39990234375,38.4991340637207,116.1854476928711,90.79826354980469
2014-06-05,65.69969940185547,35.14300537109375,4209.77978515625,38.944149017333984,117.11112976074219,89.7237777709961
2014-06-06,66.3857650756836,35.373268127441406,4262.39990234375,39.208152770996094,117.3566665649414,89.78475189208984
2014-06-09,66.33348846435547,35.194183349609375,4262.39990234375,39.607940673828125,117.26225280761719,88.70264434814453
2014-06-10,66.29428100585938,35.057735443115234,4157.16015625,39.66829299926758,116.04688262939453,89.23605346679688
2014-06-11,66.61445617675781,34.844539642333984,4262.39990234375,39.40428161621094,114.76232147216797,88.65690612792969
2014-06-12,66.42496490478516,34.60576248168945,4341.33984375,39.00450134277344,114.11372375488281,88.55020904541016
2014-06-13,67.07183837890625,35.160072326660156,4420.27001953125,39.14781951904297,114.95751953125,88.42066192626953
2014-06-16,67.24825286865234,35.390323638916016,4420.27001953125,38.536842346191406,114.8253402709961,88.51972198486328
2014-06-17,66.9215316772461,35.5438117980957,4420.27001953125,38.96678924560547,114.76860809326172,88.52734375
2014-06-18,67.12411499023438,35.51823425292969,4499.2001953125,39.25341796875,115.61243438720703,89.53327178955078
2014-06-19,67.05877685546875,35.39884567260742,4420.27001953125,39.23834228515625,115.12127685546875,89.8075942993164
2014-06-20,67.84286499023438,35.5438117980957,4341.33984375,39.89456558227539,114.3215560913086,92.1852035522461
