Date,AAPL,MSFT,GOOGL,AMZN,FB,TSLA
2014-04-10,16.467472076416016,33.330238342285156,27.33449935913086,15.855500221252441,,13.612667083740234
2014-04-11,16.345735549926758,33.20321273803711,26.88800048828125,15.58650016784668,,13.585332870483398
2014-04-14,16.410852432250977,33.177818298339844,27.260000228881836,15.795499801635742,,13.206000328063965
2014-04-15,16.2938232421875,33.660491943359375,27.434999465942383,15.803999900817871,,12.927332878112793
2014-04-16,16.326858520507812,34.210914611816406,28.19499969482422,16.18400001525879,,13.27400016784668
2014-04-17,16.513402938842773,33.88065719604492,27.16699981689453,16.245500564575195,,13.208000183105469
2014-04-21,16.70939064025879,33.82139587402344,26.9685001373291,16.543500900268555,,13.625332832336426
2014-04-22,16.726051330566406,33.86373519897461,27.274999618530273,16.465999603271484,,14.576000213623047
2014-04-23,16.507427215576172,33.609683990478516,26.875499725341797,16.229000091552734,,13.866000175476074
2014-04-24,17.860734939575195,33.75365447998047,26.722000122070312,16.857500076293945,,13.857333183288574
2014-04-25,17.991910934448242,33.795982360839844,26.155000686645508,15.191499710083008,,13.323332786560059
2014-04-28,18.688695907592773,34.608917236328125,26.14900016784668,14.829000473022461,,13.234000205993652
2014-04-29,18.633331298828125,34.304054260253906,26.816499710083008,15.019000053405762,,13.79466724395752
2014-04-30,18.5628662109375,34.210914611816406,26.743999481201172,15.206500053405762,,13.859333038330078
2014-05-01,18.60659408569336,33.8721809387207,26.92650032043457,15.394499778747559,,13.84866714477539
2014-05-02,18.641199111938477,33.609683990478516,26.693500518798828,15.400500297546387,,14.060667037963867
2014-05-05,18.904813766479492,33.38951110839844,26.76650047302246,15.5024995803833,,14.440667152404785
2014-05-06,18.698762893676758,33.07619857788086,26.12849998474121,14.869000434875488,,13.8186674118042
2014-05-07,18.633331298828125,33.381046295166016,25.899999618530273,14.635499954223633,,13.423333168029785
2014-05-08,18.600120544433594,33.567344665527344,26.008499145507812,14.416000366210938,,11.906000137329102
2014-05-09,18.522619247436523,33.4826545715332,26.33099937438965,14.612000465393066,,12.150667190551758
2014-05-12,18.753225326538086,33.84678649902344,26.921499252319336,15.142999649047852,,12.311332702636719
2014-05-13,18.78264045715332,34.469329833984375,27.07699966430664,15.232000350952148,,12.677332878112793
2014-05-14,18.78612518310547,34.31582260131836,26.720500946044922,14.880999565124512,,12.708000183105469
2014-05-15,18.626373291015625,33.77003479003906,26.45599937438965,14.759499549865723,,12.572667121887207
2014-05-16,18.90126609802246,33.9661865234375,26.415000915527344,14.885000228881836,,12.77066707611084
2014-05-19,19.125234603881836,33.897953033447266,26.941499710083008,14.838000297546387,,13.072667121887207
2014-05-20,19.129032135009766,33.8382682800293,27.019500732421875,15.059499740600586,,13.020000457763672
2014-05-21,19.179641723632812,34.40961837768555,27.485000610351562,15.250499725341797,,13.296667098999023
2014-05-22,19.210004806518555,34.19643020629883,27.772499084472656,15.245499610900879,,13.658666610717773
2014-05-23,19.42701530456543,34.213497161865234,28.190000534057617,15.612000465393066,,13.819999694824219
2014-05-27,19.790803909301758,34.27318572998047,28.743499755859375,15.541000366210938,,14.104000091552734
2014-05-28,19.73955726623535,34.11967086791992,28.522499084472656,15.508000373840332,,14.015999794006348
2014-05-29,20.099227905273438,34.401092529296875,28.527999877929688,15.689000129699707,,14.015999794006348
2014-05-30,20.02393913269043,34.912757873535156,28.582500457763672,15.6274995803833,,13.851332664489746
2014-06-02,19.886333465576172,34.784847259521484,28.216999053955078,15.442000389099121,,13.646666526794434
2014-06-03,20.167551040649414,34.358455657958984,27.725500106811523,15.35949993133545,,13.662667274475098
2014-06-04,20.39784812927246,34.3840446472168,27.687999725341797,15.33899974822998,,13.599332809448242
2014-06-05,20.477880477905273,35.143001556396484,28.24650001525879,16.178499221801758,,13.793333053588867
2014-06-06,20.42156982421875,35.373260498046875,28.30150032043457,16.48349952697754,,13.878000259399414
2014-06-09,20.748340606689453,35.19418716430664,28.536500930786133,16.375,,13.687333106994629
2014-06-10,20.870134353637695,35.057743072509766,28.415000915527344,16.620500564575195,,13.486666679382324
2014-06-11,20.783771514892578,34.84455108642578,28.375,16.760000228881836,,13.631333351135254
2014-06-12,20.436119079589844,34.60576629638672,27.975000381469727,16.295499801635742,,13.567999839782715
2014-06-13,20.21247673034668,35.16006851196289,28.017499923706055,16.313499450683594,,13.761333465576172
2014-06-16,20.416187286376953,35.39031982421875,27.614999771118164,16.381000518798828,,14.973999977111816
2014-06-17,20.389623641967773,35.54381561279297,27.5310001373291,16.2810001373291,,15.444666862487793
2014-06-18,20.41176414489746,35.51823806762695,28.033000946044922,16.7189998626709,,15.141332626342773
2014-06-19,20.340904235839844,35.398841857910156,28.249500274658203,16.350000381469727,,15.185999870300293
2014-06-20,20.130537033081055,35.54381561279297,28.326000213623047,16.209999084472656,,15.305999755859375
2014-06-23,20.112829208374023,35.80818557739258,28.714500427246094,16.36199951171875,,15.814666748046875
2014-06-24,19.991043090820312,35.60352325439453,28.62700080871582,16.20800018310547,,15.5
2014-06-25,20.008756637573242,35.8422966003418,29.296499252319336,16.371999740600586,,15.792667388916016
2014-06-26,20.128332138061523,35.577945709228516,29.238500595092773,16.284500122070312,,15.706666946411133
2014-06-27,20.367481231689453,36.0299186706543,29.284500122070312,16.228500366210938,,15.937333106994629
2014-06-30,20.577831268310547,35.560874938964844,29.23349952697754,16.23900032043457,,16.003999710083008
2014-07-01,20.708484649658203,35.70584487915039,29.574499130249023,16.61949920654297,,15.981332778930664
