Date,PLTR,RIG,CLSK,CMCSA,WBD,AAL
2020-09-30,9.5,0.8100000023841858,12.489999771118164,42.19550704956055,21.770000457763672,12.289999961853027
2020-10-01,9.460000038146973,0.7799999713897705,12.430000305175781,42.359683990478516,21.510000228881836,12.579999923706055
2020-10-02,9.199999809265137,0.800000011920929,12.630000114440918,41.18303680419922,21.5,13.0
2020-10-05,9.029999732971191,0.800000011920929,12.199999809265137,41.78504180908203,21.90999984741211,13.119999885559082
2020-10-06,9.899999618530273,0.7900000214576721,12.479999542236328,40.80413055419922,21.520000457763672,12.529999732971191
2020-10-07,10.0,0.8100000023841858,10.75,41.2166633605957,22.190000534057617,13.069999694824219
2020-10-08,10.0,0.8999999761581421,10.15999984741211,41.52835464477539,22.770000457763672,13.15999984741211
2020-10-09,9.949999809265137,0.8600000143051147,10.779999732971191,41.115821838378906,22.239999771118164,13.199999809265137
2020-10-12,9.890000343322754,0.8399999737739563,10.140000343322754,42.16090393066406,22.34000015258789,12.920000076293945
2020-10-13,9.470000267028809,0.800000011920929,9.84000015258789,42.06923294067383,21.56999969482422,12.220000267028809
2020-10-14,9.34000015258789,0.8299999833106995,9.84000015258789,41.51001739501953,20.93000030517578,12.359999656677246
2020-10-15,9.90999984741211,0.8100000023841858,10.289999961853027,41.35417938232422,20.969999313354492,12.229999542236328
2020-10-16,9.710000038146973,0.7900000214576721,9.720000267028809,41.76671600341797,20.959999084472656,12.460000038146973
2020-10-19,9.569999694824219,0.7900000214576721,9.260000228881836,40.63911437988281,20.200000762939453,12.5600004196167
2020-10-20,9.270000457763672,0.8199999928474426,9.0,40.5841064453125,20.25,12.800000190734863
2020-10-21,9.199999809265137,0.8199999928474426,8.880000114440918,40.81330108642578,20.719999313354492,12.75
2020-10-22,9.680000305175781,0.8199999928474426,8.970000267028809,41.35417938232422,21.18000030517578,13.149999618530273
2020-10-23,9.489999771118164,0.8399999737739563,8.800000190734863,41.3083381652832,21.100000381469727,12.600000381469727
2020-10-26,9.949999809265137,0.8100000023841858,8.069999694824219,40.12574005126953,20.520000457763672,11.800000190734863
2020-10-27,10.949999809265137,0.7599999904632568,7.829999923706055,39.82321548461914,20.100000381469727,11.229999542236328
2020-10-28,10.850000381469727,0.7300000190734863,7.210000038146973,38.48477554321289,19.270000457763672,10.949999809265137
2020-10-29,10.75,0.6899999976158142,7.989999771118164,39.474857330322266,19.739999771118164,11.15999984741211
2020-10-30,10.130000114440918,0.6700000166893005,7.550000190734863,38.72312545776367,20.239999771118164,11.279999732971191
2020-11-02,10.539999961853027,0.7200000286102295,7.730000019073486,37.95306396484375,21.1200008392334,11.1899995803833
2020-11-03,10.5,0.8700000047683716,8.630000114440918,39.07148742675781,21.1200008392334,11.25
2020-11-04,10.720000267028809,0.9700000286102295,8.619999885559082,40.06156539916992,20.530000686645508,11.010000228881836
2020-11-05,11.880000114440918,1.0,9.300000190734863,40.6574592590332,21.43000030517578,11.600000381469727
2020-11-06,13.829999923706055,1.0,9.029999732971191,40.82246780395508,20.93000030517578,11.460000038146973
2020-11-09,14.670000076293945,1.0700000524520874,9.140000343322754,43.251827239990234,22.1200008392334,13.199999809265137
2020-11-10,14.0,1.100000023841858,8.729999542236328,43.79270935058594,22.920000076293945,12.380000114440918
2020-11-11,15.960000038146973,1.059999942779541,9.119999885559082,43.701026916503906,22.440000534057617,12.039999961853027
2020-11-12,14.579999923706055,1.0099999904632568,8.890000343322754,43.9852180480957,21.799999237060547,11.739999771118164
2020-11-13,15.800000190734863,1.0800000429153442,8.819999694824219,44.92029571533203,23.1200008392334,12.239999771118164
2020-11-16,15.930000305175781,1.1799999475479126,8.920000076293945,45.415340423583984,24.06999969482422,12.789999961853027
2020-11-17,17.850000381469727,1.1799999475479126,8.8100004196167,45.6353645324707,24.299999237060547,12.699999809265137
2020-11-18,17.899999618530273,1.2300000190734863,9.920000076293945,45.048641204833984,24.5,12.739999771118164
2020-11-19,18.979999542236328,1.3300000429153442,10.59000015258789,45.36033248901367,25.030000686645508,12.789999961853027
2020-11-20,18.149999618530273,1.3799999952316284,10.149999618530273,45.076141357421875,25.489999771118164,12.529999732971191
2020-11-23,21.040000915527344,1.7999999523162842,11.09000015258789,45.66284942626953,26.5,13.5600004196167
2020-11-24,23.81999969482422,2.0399999618530273,10.380000114440918,47.98220443725586,27.200000762939453,14.819999694824219
2020-11-25,29.049999237060547,2.1700000762939453,11.069999694824219,47.48717498779297,27.299999237060547,14.9399995803833
2020-11-27,27.65999984741211,2.0799999237060547,10.930000305175781,47.44133758544922,27.479999542236328,14.979999542236328
2020-11-30,27.110000610351562,1.850000023841858,10.899999618530273,46.05705642700195,26.90999984741211,14.130000114440918
2020-12-01,25.670000076293945,2.0199999809265137,11.600000381469727,46.77211380004883,27.68000030517578,14.270000457763672
2020-12-02,22.510000228881836,2.0899999141693115,11.0,46.79961013793945,28.3700008392334,14.859999656677246
2020-12-03,24.030000686645508,2.0299999713897705,10.850000381469727,47.294654846191406,28.239999771118164,16.09000015258789
2020-12-04,23.850000381469727,2.1700000762939453,11.600000381469727,47.38632583618164,28.479999542236328,16.399999618530273
2020-12-07,28.940000534057617,2.140000104904175,11.75,47.606353759765625,28.799999237060547,17.209999084472656
2020-12-08,28.59000015258789,2.2699999809265137,12.729999542236328,47.129638671875,28.09000015258789,17.6299991607666
2020-12-09,26.6299991607666,2.25,13.09000015258789,46.992130279541016,28.5,17.15999984741211
2020-12-10,27.040000915527344,2.5399999618530273,15.390000343322754,46.277076721191406,28.790000915527344,17.989999771118164
